Model,Poison_Rate,DR,Precision,Recall,F1,Accuracy,AUC,FPR,Train_Time_s
Wide_Deep_CNN,0%,0.4719,0.2134,0.4719,0.2939,0.8065,0.7263,0.1623,83.32
Wide_Deep_CNN,10%,0.4735,0.2178,0.4735,0.2984,0.81,0.7277,0.1586,80.18
Wide_Deep_CNN,20%,0.4079,0.1418,0.4079,0.2104,0.7389,0.6667,0.2302,69.79
Wide_Deep_CNN,30%,0.4379,0.222,0.4379,0.2946,0.8211,0.732,0.1432,67.0
