Model,0%,10%,20%,30%
AdaBoost,0.0,-0.005,0.0041,0.0062
LightGBM,0.0,0.0237,0.0618,0.1255
Majority Voting,0.0,0.0344,0.0824,0.1479
Prob Averaging,0.0,0.0322,0.0888,0.1415
Random Forest,0.0,0.0246,0.0506,0.0907
Sequential,0.0,0.0986,0.2368,0.3979
XGBoost,0.0,0.0511,0.1444,0.237
